Key;Item Type;Publication Year;Author;Title;Journal Name;DOI
P5YKJ8SA;journalArticle;2022;"Tan, S.; Wang, Y.; Yuan, Q.; Zheng, L.; Li, T.; Shen, H.; Zhang, L.";Reconstructing global PM2.5monitoring dataset from OpenAQ using a two-step spatio-temporal model based on SES-IDW and LSTM;Environmental Research Letters;10.1088/1748-9326/ac52c9
GCIV2AQX;journalArticle;2022;"Iddrisu, A.-K.; A Amikiya, E.; Kwame Bukari, F.";Spatio-temporal characteristics of Tuberculosis in Ghana;F1000Research;10.12688/f1000research.109053.2
M5KP5TA4;journalArticle;2022;"Tian, S.; Renzullo, L.J.; Lerat, J.; Pipunic, R.C.";Spatio-Temporal Model Variance-Covariance Approach to Assimilating Streamflow Observations Into a Distributed Landscape Water Balance Model;Water Resources Research;10.1029/2021WR031649
UW2N9VBC;journalArticle;2021;"Danwang, C.; Khalil, É.; Achu, D.; Ateba, M.; Abomabo, M.; Souopgui, J.; De Keukeleire, M.; Robert, A.";Fine scale analysis of malaria incidence in under-5: hierarchical Bayesian spatio-temporal modelling of routinely collected malaria data between 2012–2018 in Cameroon;Scientific Reports;10.1038/s41598-021-90997-8
SWEWQH4D;journalArticle;2021;"Gómez, A.M.; Serre, M.; Wise, E.; Pavelsky, T.";Integrating Community Science Research and Space-Time Mapping to Determine Depth to Groundwater in a Remote Rural Region;Water Resources Research;10.1029/2020WR029519
AY49FPWG;journalArticle;2021;"Huang, J.; Lu, X.; Liu, H.; Zong, S.";The driving forces of anoplophora glabripennis have spatial spillover effects;Forests;10.3390/f12121678
CJP4DA7F;journalArticle;2021;"Otto, P.; Piter, A.; Gijsman, R.";Statistical analysis of beach profiles – A spatiotemporal functional approach;Coastal Engineering;10.1016/j.coastaleng.2021.103999
ZQ6V4Y7E;journalArticle;2021;"Dambrine, C.; Woillez, M.; Huret, M.; de Pontual, H.";Characterising Essential Fish Habitat using spatio-temporal analysis of fishery data: A case study of the European seabass spawning areas;Fisheries Oceanography;10.1111/fog.12527
3SDK25ZS;journalArticle;2021;"O'Hara, K.C.; Pires, A.F.A.; Martínez-López, B.";Evaluating the association between climatic factors and sheep condemnations in the United States using cluster analysis and spatio-temporal modeling;Preventive Veterinary Medicine;10.1016/j.prevetmed.2021.105342
R9YI4KZ3;journalArticle;2021;"Fioravanti, G.; Martino, S.; Cameletti, M.; Cattani, G.";Spatio-temporal modelling of PM10 daily concentrations in Italy using the SPDE approach;Atmospheric Environment;10.1016/j.atmosenv.2021.118192
ERKQMITE;journalArticle;2021;"Rahimi, F.; Sadeghi-Niaraki, A.; Ghodousi, M.; Choi, S.-M.";Modeling population spatial-temporal distribution using taxis origin and destination data;Sustainability (Switzerland);10.3390/su13073727
